TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionType_Encoded,Channel_Encoded,CustomerAge_Binned,TransactionAmountNorm,CustomerAgeNorm,AccountBalanceNorm,Cluster
0.99,Debit,Los Angeles,ATM,45,Engineer,133,1,4317.85,1,0,Adult,0.0008084790626072895,0.435483870967742,0.2834357527253955,2
505.19,Debit,Kansas City,ATM,30,Doctor,128,5,5326.68,1,0,Young Adult,0.5592127850442448,0.19354838709677424,0.3512483245657315,2
66.58,Debit,Raleigh,Branch,23,Student,79,1,1636.32,1,1,Young Adult,0.07344976908508964,0.08064516129032262,0.10318591304277686,1
223.43,Debit,Dallas,Branch,77,Retired,178,1,7932.41,1,1,Senior,0.24716201698913537,0.9516129032258065,0.5264029619392422,1
659.95,Debit,Detroit,Online,60,Engineer,114,1,3927.69,1,2,Middle Age,0.7306103463169902,0.6774193548387097,0.25720957682933226,0
634.86,Debit,Chicago,ATM,27,Student,45,1,588.5,1,0,Young Adult,0.7028230316857341,0.14516129032258068,0.03275247130755797,2
286.5,Credit,Boston,Branch,30,Engineer,60,1,8517.95,0,1,Young Adult,0.31701239298727474,0.19354838709677424,0.5657623914916845,1
322.96,Credit,Philadelphia,Branch,76,Retired,168,1,2401.59,0,1,Senior,0.35739204589503054,0.935483870967742,0.15462661846614248,1
654.48,Debit,Columbus,Branch,19,Student,114,1,6776.41,1,1,Young Adult,0.7245522908752616,0.016129032258064557,0.44869776577395315,1
157.97,Debit,Philadelphia,Branch,48,Doctor,140,1,5529.92,1,1,Middle Age,0.174664702690131,0.4838709677419355,0.3649099197808122,1
120.9,Debit,Tucson,Branch,40,Doctor,52,1,9009.42,1,1,Adult,0.13360947138759371,0.3548387096774194,0.5987985270966624,1
254.77,Debit,Denver,Branch,57,Engineer,57,1,5994.87,1,1,Middle Age,0.281871241402988,0.6290322580645161,0.3961634067678806,1
795.96,Debit,Raleigh,Online,65,Retired,119,1,5468.58,1,2,Senior,0.8812421782419456,0.7580645161290323,0.3607867046140485,0
149.25,Debit,Omaha,ATM,39,Engineer,142,1,5677.52,1,0,Adult,0.16500725416145215,0.33870967741935487,0.37483144828772974,2
3.42,Credit,San Antonio,Online,43,Doctor,158,1,14180.21,0,2,Adult,0.0034997175860808694,0.4032258064516129,0.9463740039820553,0
68.19,Credit,Fresno,Online,40,Doctor,189,1,9895.1,0,2,Adult,0.07523285304508653,0.3548387096774194,0.6583330756603935,0
493.42,Debit,Baltimore,Branch,39,Engineer,111,1,2232.84,1,1,Adult,0.5461774445416587,0.33870967741935487,0.14328340752073374,1
37.57,Debit,El Paso,ATM,57,Retired,42,1,7739.54,1,0,Middle Age,0.041321032638189,0.6290322580645161,0.513438428042703,2
127.0,Credit,Nashville,Branch,19,Student,68,5,431.16,0,1,Young Adult,0.14036525533540806,0.016129032258064557,0.02217622946962843,1
96.89,Debit,Sacramento,ATM,59,Retired,53,1,6044.93,1,0,Middle Age,0.10701826276677039,0.6612903225806451,0.3995283913007823,2
448.33,Debit,Atlanta,ATM,25,Student,161,1,922.19,1,0,Young Adult,0.4962400186060934,0.11290322580645162,0.05518278870236357,2
8.65,Debit,Las Vegas,Online,48,Doctor,273,1,10778.35,1,2,Middle Age,0.009291971692157753,0.4838709677419355,0.7177042819865106,0
65.57,Debit,Miami,Online,41,Engineer,82,1,7513.79,1,2,Adult,0.07233118846422201,0.3709677419354839,0.49826373251128947,0
539.81,Debit,San Francisco,Online,46,Engineer,177,1,2051.25,1,2,Middle Age,0.5975546277120041,0.4516129032258065,0.13107710425805655,0
363.53,Debit,Kansas City,ATM,63,Retired,142,1,1038.91,1,0,Senior,0.402323546675822,0.7258064516129032,0.06302859363005606,2
64.9,Credit,Detroit,Branch,51,Retired,72,1,6854.61,0,1,Middle Age,0.07158915973552767,0.532258064516129,0.45395429374984037,1
358.18,Debit,Boston,ATM,18,Student,157,1,619.86,1,0,Child,0.3963983919019193,0.0,0.03486046002013883,2
167.2,Debit,San Antonio,Branch,30,Doctor,84,1,11320.83,1,1,Young Adult,0.18488697905706974,0.19354838709677424,0.7541692602008236,1
121.91,Debit,Chicago,Branch,60,Doctor,133,1,14510.8,1,1,Middle Age,0.13472805200846133,0.6774193548387097,0.9685959423906044,1
137.57,Debit,Louisville,Online,54,Engineer,70,1,5103.67,1,2,Middle Age,0.1520715891597355,0.5806451612903226,0.33625780917055753,0
534.62,Debit,Oklahoma City,Online,55,Doctor,45,1,13793.53,1,2,Middle Age,0.5918066738285359,0.5967741935483871,0.9203817503028219,0
463.92,Debit,Mesa,Online,50,Engineer,199,1,2403.39,1,2,Middle Age,0.5135060303678025,0.5161290322580645,0.1547476127162268,0
320.14,Debit,Milwaukee,Online,60,Retired,96,1,3075.97,1,2,Middle Age,0.35426888020112296,0.6774193548387097,0.19995778645052614,0
214.93,Debit,Albuquerque,Online,28,Student,52,1,7835.4,1,2,Young Adult,0.23774821968480392,0.16129032258064518,0.5198820440499734,0
660.02,Debit,Nashville,Branch,20,Student,84,1,414.43,1,1,Young Adult,0.7306878717065552,0.03225806451612906,0.02105165513412213,1
345.81,Debit,Raleigh,Branch,40,Engineer,135,1,6116.8,1,1,Adult,0.3826985480602039,0.3548387096774194,0.4043594228305395,1
143.54,Debit,Philadelphia,ATM,71,Retired,80,1,6067.62,1,0,Senior,0.15868339738407183,0.8548387096774193,0.40105359104212346,2
42.55,Debit,Seattle,Branch,53,Engineer,29,1,7341.43,1,1,Middle Age,0.046836410352962016,0.5645161290322581,0.4866778608754338,1
541.79,Debit,Mesa,ATM,22,Student,125,1,1454.08,1,0,Young Adult,0.5997474887311307,0.06451612903225812,0.09093591741201366,2
40.57,Debit,Columbus,Branch,26,Student,63,1,1476.91,1,1,Young Adult,0.044643549333835394,0.12903225806451613,0.0924705278172503,1
120.24,Debit,Milwaukee,Branch,18,Student,131,2,1943.13,1,1,Child,0.1328785177145515,0.0,0.12380938296965602,1
498.67,Debit,Miami,Online,28,Student,244,1,1719.97,1,2,Young Adult,0.55199184875904,0.16129032258064518,0.10880878472030836,0
227.22,Debit,El Paso,ATM,53,Doctor,220,1,832.82,1,0,Middle Age,0.2513594630813019,0.5645161290322581,0.049175424185675096,2
56.94,Credit,Charlotte,Online,76,Retired,74,1,7004.63,0,2,Senior,0.06277341543641256,0.935483870967742,0.46403849230409355,0
629.82,Debit,Colorado Springs,ATM,68,Retired,159,1,6385.69,1,0,Senior,0.6972412036370482,0.8064516129032258,0.4224339472223081,2
59.44,Debit,Chicago,Online,35,Engineer,176,1,5472.03,1,2,Adult,0.06554217934945122,0.27419354838709675,0.3610186102600435,0
186.69,Debit,New York,Branch,30,Engineer,54,1,8602.22,1,1,Young Adult,0.20647226252311918,0.19354838709677424,0.5714269389664671,1
230.46,Debit,Mesa,Online,19,Student,179,1,162.53,1,2,Young Adult,0.2549477811126001,0.016129032258064557,0.004119182025094207,0
65.09,Credit,Seattle,Online,44,Engineer,159,1,9370.9,0,2,Adult,0.0717995857929186,0.4193548387096775,0.6230968612747149,0
457.09,Credit,Nashville,Online,55,Engineer,63,1,8570.82,0,2,Middle Age,0.5059417673573808,0.5967741935483871,0.5693162614927734,0
552.02,Credit,Chicago,ATM,44,Engineer,100,1,522.08,0,0,Adult,0.611077270663285,0.4193548387096775,0.028287783479445102,2
377.12,Debit,Houston,ATM,34,Engineer,61,1,836.67,1,0,Adult,0.41737454730710016,0.25806451612903225,0.049434217442799966,2
204.56,Credit,San Diego,Branch,18,Student,179,1,364.72,0,1,Child,0.22626338697351953,0.0,0.017710197260959057,1
420.28,Debit,Washington,Branch,35,Doctor,144,1,8557.32,1,1,Adult,0.4651744875017996,0.27419354838709675,0.5684088046171406,1
97.09,Debit,Fort Worth,ATM,24,Student,202,4,1579.57,1,0,Young Adult,0.10723976387981349,0.09677419354838712,0.09937123321372829,2
124.59,Debit,Charlotte,Branch,27,Student,171,1,129.29,1,1,Young Adult,0.1376961669232388,0.14516129032258068,0.0018848215402030282,1
73.88,Debit,Charlotte,Online,39,Doctor,34,1,6474.41,1,2,Adult,0.08153455971116254,0.33870967741935487,0.4283976193709106,0
77.43,Debit,Raleigh,Online,21,Student,169,1,1380.21,1,2,Young Adult,0.08546620446767744,0.04838709677419356,0.08597044782660719,0
106.16,Debit,Phoenix,ATM,56,Doctor,277,4,7487.79,1,0,Middle Age,0.11728483935631774,0.6129032258064516,0.49651603778784875,2
245.93,Debit,Fresno,Branch,54,Engineer,172,1,7986.63,1,1,Middle Age,0.2720808922064833,0.5806451612903226,0.5300475776278943,1
622.41,Debit,Indianapolis,ATM,64,Doctor,125,1,7322.01,1,0,Senior,0.6890345873988015,0.7419354838709677,0.48537246735507916,2
43.73,Debit,Omaha,ATM,34,Doctor,145,1,9929.43,1,0,Adult,0.048143266919916265,0.25806451612903225,0.6606407048856135,2
2.03,Credit,Detroit,ATM,33,Engineer,28,1,3012.31,0,0,Adult,0.001960284850431373,0.24193548387096775,0.19567862313920928,2
770.65,Debit,Jacksonville,Online,31,Doctor,137,1,7198.8,1,2,Adult,0.8532112123863421,0.20967741935483875,0.47709041093680477,0
260.31,Debit,Austin,Branch,63,Doctor,113,1,10980.38,1,1,Senior,0.2880068222342817,0.7258064516129032,0.7312845421779235,1
356.1,Credit,Fort Worth,Branch,26,Student,187,1,868.35,0,1,Young Adult,0.3940947803262711,0.12903225806451613,0.05156371624428471,1
27.07,Credit,Virginia Beach,Branch,80,Retired,39,1,3773.29,0,1,Senior,0.02969222420342662,1.0,0.24683095893320714,1
119.89,Debit,Tucson,ATM,67,Doctor,60,1,6697.77,1,0,Senior,0.1324908907667261,0.7903225806451613,0.44341166142582317,2
106.39,Debit,Virginia Beach,Online,37,Doctor,281,1,9410.99,1,2,Adult,0.1175395656363173,0.30645161290322587,0.6257916721002048,0
12.04,Debit,Fort Worth,Online,37,Engineer,58,1,6213.32,1,2,Adult,0.013046415558238178,0.30645161290322587,0.41084740339617415,0
365.7,Debit,Houston,Branch,21,Student,115,2,368.78,1,1,Young Adult,0.40472683375233953,0.04838709677419356,0.01798310651392711,1
29.38,Credit,Baltimore,Branch,28,Student,63,1,1663.31,0,1,Young Adult,0.03225056205907434,0.16129032258064518,0.10500015460376401,1
319.85,Debit,Denver,ATM,60,Doctor,148,1,711.66,1,0,Middle Age,0.3539477035872105,0.6774193548387097,0.04103116677444117,2
350.14,Credit,Los Angeles,Online,75,Retired,38,1,2403.25,0,2,Senior,0.3874940471575869,0.9193548387096775,0.15473820205233138,0
163.94,Credit,Virginia Beach,Branch,52,Retired,73,1,5957.37,0,1,Middle Age,0.18127651091446734,0.5483870967741935,0.39364269322445644,1
170.53,Debit,Oklahoma City,Branch,24,Student,58,1,801.01,1,1,Young Adult,0.18857497258923725,0.09677419354838712,0.04703718691057315,1
262.22,Credit,Baltimore,ATM,40,Engineer,136,1,5711.71,0,0,Adult,0.29012215786384327,0.3548387096774194,0.3771296668490543,2
41.49,Debit,Albuquerque,Online,24,Student,13,1,928.33,1,2,Young Adult,0.04566245445383363,0.09677419354838712,0.05559551353320688,0
121.43,Credit,Sacramento,Branch,52,Engineer,243,1,7365.28,0,1,Middle Age,0.13419644933715794,0.5483870967741935,0.4882810346890515,1
350.46,Debit,Nashville,Branch,51,Retired,165,1,5839.38,1,1,Middle Age,0.3878484489384558,0.532258064516129,0.3857115201314267,1
220.41,Credit,El Paso,Online,26,Engineer,155,1,5116.98,0,2,Young Adult,0.24381735018218464,0.12903225806451613,0.3371524944309035,0
33.46,Debit,Seattle,ATM,72,Retired,111,1,3641.07,1,0,Senior,0.036769184765153444,0.8709677419354838,0.2379432590742327,2
104.79,Debit,Denver,ATM,70,Doctor,223,1,1352.19,1,0,Senior,0.11576755673197257,0.8387096774193548,0.08408697066696065,2
246.27,Debit,Fresno,Online,29,Doctor,141,1,7299.86,1,2,Young Adult,0.2724574440986566,0.1774193548387097,0.48388356588876325,0
48.85,Debit,Dallas,ATM,19,Student,176,1,1503.56,1,0,Young Adult,0.053813695413819446,0.016129032258064557,0.09426191490877707,2
332.0,Debit,Charlotte,ATM,69,Retired,17,1,5943.13,1,0,Senior,0.36740389620457836,0.8225806451612903,0.3926854942682335,2
118.1,Debit,Memphis,Online,54,Engineer,167,1,895.66,1,2,Middle Age,0.1305084558049904,0.5806451612903226,0.05339946789417574,0
84.59,Credit,Las Vegas,Branch,67,Doctor,10,1,5669.1,0,1,Senior,0.09339594431462017,0.7903225806451613,0.37426546407344624,1
295.64,Debit,Jacksonville,Online,21,Student,82,1,1061.96,1,2,Young Adult,0.32713499385334405,0.04838709677419356,0.06457799222141411,0
514.33,Debit,Philadelphia,Branch,25,Student,160,1,1592.94,1,1,Young Adult,0.5693353859103142,0.11290322580645162,0.10026995161574379,1
94.59,Debit,Washington,Online,39,Doctor,34,1,6171.89,1,2,Adult,0.10447099996677482,0.33870967741935487,0.4080625190733992,0
80.43,Debit,Columbus,Branch,59,Retired,157,1,5987.67,1,1,Middle Age,0.08878872116332384,0.6612903225806451,0.39567942976754317,1
54.25,Debit,Virginia Beach,Online,68,Doctor,37,1,14783.33,1,2,Senior,0.05979422546598296,0.8064516129032258,0.9869151440436549,0
178.88,Credit,Dallas,Branch,76,Retired,93,4,4708.29,0,1,Senior,0.19782264405878638,0.935483870967742,0.30968074994924966,1
518.85,Debit,Kansas City,Online,22,Student,82,1,1806.0,1,2,Young Adult,0.574341311065088,0.06451612903225812,0.11459163768406251,0
10.65,Debit,Louisville,Online,54,Doctor,161,1,13240.72,1,2,Middle Age,0.011506982822588684,0.5806451612903226,0.8832223995310802,0
198.62,Credit,Tucson,Branch,27,Student,84,1,1196.07,0,1,Young Adult,0.21968480391613968,0.14516129032258068,0.07359273604297717,1
107.03,Debit,Miami,Branch,27,Student,73,1,1408.07,1,1,Young Adult,0.1182483691980552,0.14516129032258068,0.08784316994180177,1
139.57,Debit,Fort Worth,ATM,19,Student,263,3,271.78,1,0,Young Adult,0.15428660029016644,0.016129032258064557,0.011462860814936606,2
312.47,Debit,Milwaukee,ATM,49,Engineer,148,4,9419.27,1,0,Middle Age,0.3457743125159204,0.5,0.6263482456505929,2
346.11,Debit,Dallas,Branch,41,Engineer,213,1,9551.64,1,1,Adult,0.3830307997297686,0.3709677419354839,0.635246028363741,1
138.06,Debit,Charlotte,Branch,44,Engineer,159,1,1070.47,1,1,Adult,0.1526142668866911,0.4193548387096775,0.06515002614820184,1
158.02,Debit,New York,ATM,49,Engineer,120,1,9374.24,1,0,Middle Age,0.17472007796839178,0.5,0.6233213728276491,2
830.01,Credit,Chicago,Online,66,Retired,96,1,4253.18,0,2,Senior,0.9189527427375321,0.7741935483870968,0.27908869819597576,0
435.5,Debit,Oklahoma City,ATM,55,Retired,112,1,6981.03,1,0,Middle Age,0.48203072220437904,0.5967741935483871,0.4624521232474319,2
110.49,Debit,Raleigh,Online,57,Doctor,48,1,10483.93,1,2,Middle Age,0.12208033845370071,0.6290322580645161,0.6979136558143788,0
329.4,Debit,Denver,Online,34,Doctor,68,1,9588.07,1,2,Adult,0.36452438173501817,0.25806451612903225,0.6376948175473929,0
635.4,Debit,Denver,ATM,47,Doctor,106,1,1238.11,1,0,Middle Age,0.7034210846909504,0.467741935483871,0.07641862397272521,2
769.97,Debit,San Diego,Branch,22,Student,23,1,1244.93,1,1,Young Adult,0.8524581086019957,0.06451612903225812,0.07687705774248929,1
175.07,Debit,Colorado Springs,Branch,26,Student,169,1,1040.25,1,1,Young Adult,0.19360304785531546,0.12903225806451613,0.06311866712734109,1
7.31,Debit,Las Vegas,Branch,78,Retired,282,1,5757.67,1,1,Senior,0.007807914234769028,0.967741935483871,0.380219053367875,1
175.15,Debit,Detroit,ATM,27,Student,32,1,1712.65,1,0,Young Adult,0.1936916483005327,0.14516129032258068,0.10831674143663197,2
32.54,Debit,Oklahoma City,Online,25,Student,183,4,1544.88,1,2,Young Adult,0.03575027964515521,0.11290322580645162,0.09703940513849138,0
121.82,Debit,Dallas,Online,60,Doctor,119,1,13293.83,1,2,Middle Age,0.13462837650759193,0.6774193548387097,0.886792402098847,0
56.12,Debit,El Paso,ATM,30,Doctor,102,1,8839.67,1,0,Young Adult,0.061865260872935875,0.19354838709677424,0.587388097123429,2
424.7,Credit,Miami,Online,56,Retired,178,1,6239.89,0,2,Middle Age,0.47006966210005197,0.6129032258064516,0.412633412965475,0
35.16,Debit,Chicago,Branch,32,Engineer,130,1,8459.18,1,1,Adult,0.038651944226019724,0.22580645161290325,0.5618119292264301,1
35.73,Debit,Miami,Branch,65,Doctor,87,1,9073.17,1,1,Senior,0.03928322239819254,0.7580645161290323,0.6030837401204835,1
3.44,Debit,Fort Worth,ATM,78,Retired,108,1,7561.33,1,0,Senior,0.003521867697385179,0.967741935483871,0.5014593250940731,2
139.03,Credit,Los Angeles,Online,50,Engineer,81,1,2276.57,0,2,Middle Age,0.1536885472849501,0.5161290322580645,0.14622289560750543,0
254.92,Credit,San Antonio,ATM,28,Engineer,169,1,2791.12,0,0,Young Adult,0.2820373672377703,0.16129032258064518,0.1808104463746762,2
115.11,Debit,Albuquerque,Online,28,Engineer,139,1,9808.97,1,2,Young Adult,0.12719701416499618,0.16129032258064518,0.6525435007938568,0
171.11,Debit,San Francisco,ATM,57,Retired,171,1,6324.09,1,0,Middle Age,0.18921732581706224,0.6290322580645161,0.41829325510831006,2
168.54,Debit,Oklahoma City,ATM,70,Doctor,142,2,13406.0,1,0,Senior,0.18637103651445847,0.8387096774193548,0.8943323604499374,2
420.76,Debit,Miami,Branch,51,Retired,76,1,6581.55,1,1,Middle Age,0.46570609017310305,0.532258064516129,0.43559946601204297,1
408.46,Debit,Raleigh,Branch,64,Retired,28,1,3140.79,1,1,Senior,0.4520837717209528,0.7419354838709677,0.2043149238341196,1
342.17,Credit,New York,Branch,21,Student,247,1,461.83,0,1,Young Adult,0.3786672278028197,0.04838709677419356,0.02423783705301027,1
580.71,Debit,Philadelphia,ATM,53,Engineer,95,1,5670.0,1,0,Middle Age,0.6428516053293167,0.5645161290322581,0.3743259611984884,2
821.54,Credit,Atlanta,Branch,79,Retired,36,1,4040.32,0,1,Senior,0.9095721706001572,0.9838709677419355,0.2647804559332219,1
253.47,Debit,Atlanta,Branch,20,Student,238,1,220.51,1,1,Young Adult,0.2804314841682079,0.03225806451612906,0.008016541258367088,1
22.81,Debit,New York,Online,62,Retired,75,1,3634.76,1,2,Senior,0.024974250495608735,0.7096774193548387,0.2375191070086592,0
266.57,Credit,Boston,Online,39,Engineer,96,1,7180.48,0,2,Adult,0.2949398070725305,0.33870967741935487,0.4758589583470572,0
374.61,Credit,Mesa,Online,75,Retired,37,1,1389.71,0,2,Senior,0.41459470833840933,0.9193548387096775,0.08660902859094131,0
339.35,Credit,Boston,ATM,78,Retired,70,1,5002.7,0,0,Senior,0.37554406210891206,0.967741935483871,0.32947070393110317,2
810.36,Debit,Columbus,ATM,20,Student,67,1,9239.12,1,0,Young Adult,0.8971902583810483,0.03225806451612906,0.6142387377879832,2
9.83,Debit,Memphis,ATM,24,Student,86,1,666.42,1,0,Young Adult,0.010598828259112002,0.09677419354838712,0.037990177955654264,2
135.57,Credit,Boston,Branch,51,Doctor,116,1,11351.64,0,1,Middle Age,0.14985657802930458,0.532258064516129,0.7562402784481009,1
340.05,Debit,Detroit,ATM,43,Engineer,37,1,7234.15,1,0,Adult,0.37631931600456286,0.4032258064516129,0.4794666035704059,2
283.45,Debit,Colorado Springs,Branch,27,Engineer,127,1,2049.51,1,1,Young Adult,0.31363450101336754,0.14516129032258068,0.1309601431496417,1
100.99,Debit,New York,ATM,68,Doctor,114,1,8865.27,1,0,Senior,0.1115590355841538,0.8064516129032258,0.5891089042357399,2
90.88,Debit,Albuquerque,Branch,18,Student,176,1,3908.47,1,1,Child,0.10036215431982544,0.0,0.2559176271145426,1
655.15,Debit,Seattle,ATM,26,Engineer,264,1,5587.44,1,0,Young Adult,0.7252943196039559,0.12903225806451613,0.36877635826128574,2
320.55,Debit,Milwaukee,Online,50,Engineer,118,1,438.75,1,2,Middle Age,0.3547229574828613,0.5161290322580645,0.02268642189081748,0
41.51,Debit,Phoenix,Online,28,Student,48,1,609.6,1,2,Young Adult,0.04568460456513793,0.16129032258064518,0.03417079279465797,0
71.53,Credit,Jacksonville,Branch,68,Retired,39,1,2393.73,0,1,Senior,0.0789319216329062,0.8064516129032258,0.15409827690744077,1
467.13,Credit,Kansas City,Branch,54,Retired,45,1,3914.84,0,1,Middle Age,0.5170611232321441,0.5806451612903226,0.25634581232178555,1
235.4,Debit,Detroit,Branch,28,Student,70,1,818.36,1,1,Young Adult,0.26041885860476444,0.16129032258064518,0.04820343704333073,1
159.32,Debit,Seattle,Branch,18,Student,100,1,304.44,1,1,Child,0.17615983520317188,0.0,0.013658234263689492,1
50.83,Credit,Philadelphia,Online,30,Doctor,48,1,9553.42,0,2,Young Adult,0.05600655643294607,0.19354838709677424,0.635365678233269,0
56.89,Credit,Houston,Branch,59,Engineer,56,1,3034.67,0,1,Middle Age,0.06271804015815179,0.6612903225806451,0.19718164060136834,1
20.22,Debit,Jacksonville,ATM,43,Engineer,138,1,5515.32,1,0,Adult,0.02210581108170068,0.4032258064516129,0.36392852197457237,2
50.4,Debit,San Antonio,Branch,36,Doctor,84,1,1677.01,1,1,Adult,0.05553032903990342,0.29032258064516125,0.10592105528496164,1
73.88,Debit,Los Angeles,Branch,53,Retired,131,1,4055.55,1,1,Middle Age,0.08153455971116254,0.5645161290322581,0.26580420172699126,1
119.61,Debit,San Diego,ATM,33,Doctor,53,1,9899.94,1,0,Adult,0.13218078920846577,0.24193548387096775,0.6586584157550648,2
116.58,Debit,Raleigh,Branch,43,Engineer,247,1,2620.74,1,1,Adult,0.12882504734586292,0.4032258064516129,0.16935766841391328,1
391.96,Debit,Nashville,ATM,64,Retired,79,1,2174.16,1,0,Senior,0.43380992989489764,0.7419354838709677,0.13933899496798358,2
156.26,Credit,Virginia Beach,Branch,46,Engineer,160,1,7854.1,0,1,Middle Age,0.17277086817361256,0.4516129032258065,0.5211390398702943,1
427.0,Credit,Oklahoma City,Branch,49,Engineer,163,1,8253.65,0,1,Middle Age,0.47261692490004753,0.5,0.5479964024376309,1
443.68,Debit,Tucson,ATM,18,Student,137,1,874.15,1,0,Child,0.4910901177278415,0.0,0.05195358660566764,2
101.76,Debit,Philadelphia,Branch,31,Doctor,26,1,6043.25,1,1,Adult,0.11241181486936971,0.20967741935483875,0.3994154633340369,1
67.57,Debit,Charlotte,Branch,37,Engineer,107,1,2766.12,1,1,Adult,0.07454619959465295,0.30645161290322587,0.17912997067906009,1
326.29,Debit,Denver,Online,56,Engineer,179,1,8171.26,1,2,Middle Age,0.3610800394271981,0.6129032258064516,0.5424582267351584,0
158.56,Debit,Sacramento,ATM,33,Doctor,100,1,5401.21,1,0,Adult,0.17531813097360813,0.24193548387096775,0.3562581587095022,2
56.02,Debit,Memphis,Online,27,Student,142,1,3548.02,1,2,Young Adult,0.06175451031641434,0.14516129032258068,0.2316885285351495,0
288.28,Debit,Portland,Online,27,Student,36,1,160.83,1,2,Young Adult,0.31898375289335823,0.14516129032258068,0.004004909677792313,0
245.67,Credit,Portland,Branch,24,Student,107,1,752.25,0,1,Young Adult,0.27179294075952726,0.09677419354838712,0.04375958711384349,1
152.18,Credit,Los Angeles,Online,39,Engineer,176,4,2459.84,0,2,Adult,0.16825224546753348,0.33870967741935487,0.158542126836928,0
114.35,Credit,El Paso,Branch,41,Engineer,21,1,469.12,0,1,Adult,0.12635530993543242,0.3709677419354839,0.02472786376585193,1
373.27,Credit,Miami,Online,61,Doctor,79,1,8441.61,0,2,Senior,0.4131106508810206,0.6935483870967742,0.5606308909075511,0
504.63,Debit,Portland,Online,60,Engineer,168,1,3806.16,1,2,Middle Age,0.5585925819277241,0.6774193548387097,0.24904044837780323,0
126.22,Debit,Atlanta,ATM,46,Engineer,77,4,6133.41,1,0,Middle Age,0.13950140099454,0.4516129032258065,0.40547593088270684,2
820.15,Debit,Kansas City,Branch,47,Doctor,181,1,8802.97,1,1,Middle Age,0.9080327378645077,0.467741935483871,0.5849211588022645,1
8.37,Debit,Colorado Springs,ATM,63,Retired,135,1,1106.34,1,0,Senior,0.008981870133897422,0.7258064516129032,0.06756117267627182,2
197.49,Credit,Fresno,Online,53,Retired,30,1,5005.33,0,2,Middle Age,0.2184333226274462,0.5645161290322581,0.329647489974282,0
637.97,Debit,New York,Branch,58,Retired,90,1,7949.03,1,1,Middle Age,0.7062673739935542,0.6451612903225806,0.5275201421816877,1
13.52,Debit,Seattle,ATM,26,Student,65,1,259.77,1,0,Young Adult,0.014685523794757066,0.12903225806451613,0.010655560290762627,2
432.1,Debit,San Francisco,ATM,49,Engineer,240,1,2114.3,1,0,Middle Age,0.47826520328264643,0.5,0.1353152639624004,2
375.17,Debit,Fort Worth,ATM,51,Engineer,66,2,5495.3,1,0,Middle Age,0.41521491145493,0.532258064516129,0.36258279703752305,2
642.68,Debit,Fresno,Branch,50,Doctor,94,1,8461.46,1,1,Middle Age,0.711483725205719,0.5161290322580645,0.5619651886098702,1
78.44,Credit,San Jose,Online,52,Retired,292,1,6870.84,0,2,Middle Age,0.08658478508854506,0.5483870967741935,0.45504525857143435,0
139.72,Debit,Memphis,Branch,49,Engineer,201,1,5058.83,1,1,Middle Age,0.15445272612494879,0.5,0.3332437079629005,1
499.99,Debit,San Jose,Branch,31,Engineer,296,1,8885.0,1,1,Adult,0.5534537561051244,0.20967741935483875,0.5904351356547202,1
10.07,Debit,Albuquerque,Online,24,Student,49,1,530.81,1,2,Young Adult,0.010864629594763713,0.09677419354838712,0.028874605592354236,0
120.62,Debit,Raleigh,ATM,23,Student,85,1,9379.53,1,0,Young Adult,0.1332993698293334,0.08064516129032262,0.6236769614848415,2
578.49,Debit,Nashville,Branch,59,Retired,180,1,6475.13,1,1,Middle Age,0.6403929429745384,0.6612903225806451,0.4284460170709443,1
119.3,Debit,Mesa,Branch,34,Engineer,22,5,319.04,1,1,Adult,0.13183746248324898,0.25806451612903225,0.014639632069929302,1
280.92,Debit,Phoenix,Online,41,Doctor,168,1,5298.85,1,2,Adult,0.3108325119333724,0.3709677419354839,0.34937761902137165,0
42.42,Debit,Sacramento,Online,21,Student,102,1,490.57,1,2,Young Adult,0.04669243462948401,0.04838709677419356,0.02616971191269055,0
77.03,Debit,Fresno,ATM,67,Doctor,259,1,11310.27,1,0,Senior,0.08502320224159125,0.7903225806451613,0.7534594272669954,2
22.59,Debit,Seattle,ATM,62,Retired,45,1,3988.75,1,0,Senior,0.024730599271261335,0.7096774193548387,0.26131397066830503,2
568.76,Debit,Baltimore,ATM,51,Retired,155,1,7484.32,1,0,Middle Age,0.6296169138249919,0.532258064516129,0.49628278776129714,2
25.94,Credit,San Jose,Online,58,Retired,211,5,4815.11,0,2,Middle Age,0.028440742914733145,0.6451612903225806,0.31686108650147815,0
105.94,Debit,Oklahoma City,Branch,51,Engineer,207,1,5963.1,1,1,Middle Age,0.11704118813197034,0.532258064516129,0.3940278582538917,1
733.29,Debit,Virginia Beach,ATM,52,Doctor,94,5,10427.0,1,0,Middle Age,0.8118348044698923,0.5483870967741935,0.6940868765603218,2
350.15,Credit,Fresno,ATM,21,Student,195,1,296.47,0,0,Young Adult,0.387505122213239,0.04838709677419356,0.013122498611927078,2
183.67,Debit,San Diego,Online,19,Student,238,1,910.26,1,2,Young Adult,0.20312759571616845,0.016129032258064557,0.05438086570041556,0
278.27,Debit,Tucson,Branch,29,Doctor,123,1,6684.34,1,1,Young Adult,0.3078976221855514,0.1774193548387097,0.4425089098821382,1
